constituency,polling_booth,votes_cast,turnout_percentage,NOTA_votes,timestamp
Mumbai-1,C0001-B001,766,65.33,41,2024-05-13T12:07:00
Mumbai-1,C0001-B002,914,66.64,49,2024-05-13T09:14:00
Mumbai-1,C0001-B003,685,66.0,23,2024-05-13T17:38:00
Mumbai-1,C0001-B004,691,71.6,17,2024-05-13T15:50:00
Mumbai-1,C0001-B005,592,68.68,14,2024-05-13T11:05:00
Mumbai-1,C0001-B006,628,65.08,28,2024-05-13T14:13:00
Mumbai-1,C0001-B007,621,59.01,3,2024-05-13T15:50:00
Mumbai-1,C0001-B008,715,76.27,33,2024-05-13T13:25:00
Mumbai-1,C0001-B009,862,68.16,28,2024-05-13T08:32:00
Mumbai-1,C0001-B010,990,70.33,14,2024-05-13T09:08:00
Mumbai-1,C0001-B011,714,60.63,33,2024-05-13T13:34:00
Mumbai-1,C0001-B012,783,68.71,31,2024-05-13T08:43:00
Mumbai-1,C0001-B013,631,71.6,10,2024-05-13T10:27:00
Mumbai-1,C0001-B014,728,71.57,39,2024-05-13T12:34:00
Mumbai-1,C0001-B015,714,62.21,18,2024-05-13T16:02:00
Mumbai-1,C0001-B016,629,65.92,27,2024-05-13T09:54:00
Mumbai-1,C0001-B017,482,61.25,9,2024-05-13T09:06:00
Mumbai-1,C0001-B018,867,72.25,16,2024-05-13T14:16:00
Mumbai-1,C0001-B019,883,70.37,13,2024-05-13T07:58:00
Mumbai-1,C0001-B020,622,70.87,4,2024-05-13T09:51:00
Mumbai-1,C0001-B021,615,59.98,21,2024-05-13T07:25:00
Mumbai-1,C0001-B022,871,69.8,46,2024-05-13T10:34:00
Mumbai-1,C0001-B023,563,56.63,20,2024-05-13T07:44:00
Mumbai-1,C0001-B024,891,70.41,46,2024-05-13T17:58:00
Mumbai-1,C0001-B025,757,70.28,9,2024-05-13T07:14:00
Mumbai-1,C0001-B026,772,65.82,17,2024-05-13T14:11:00
Mumbai-1,C0001-B027,1024,73.56,7,2024-05-13T16:12:00
Mumbai-1,C0001-B028,1084,70.35,56,2024-05-13T13:27:00
Mumbai-1,C0001-B029,1071,71.93,28,2024-05-13T09:31:00
Mumbai-1,C0001-B030,777,65.87,12,2024-05-13T17:57:00
Mumbai-1,C0001-B031,1001,74.43,44,2024-05-13T13:31:00
Mumbai-1,C0001-B032,1070,70.03,45,2024-05-13T11:06:00
Mumbai-1,C0001-B033,888,80.81,38,2024-05-13T14:40:00
Mumbai-1,C0001-B034,587,62.73,23,2024-05-13T13:35:00
Mumbai-1,C0001-B035,666,65.89,27,2024-05-13T16:12:00
Mumbai-2,C0002-B001,1030,80.05,52,2024-05-13T15:49:00
Mumbai-2,C0002-B002,1505,84.91,40,2024-05-13T08:41:00
Mumbai-2,C0002-B003,795,75.38,29,2024-05-13T13:31:00
Mumbai-2,C0002-B004,753,70.6,28,2024-05-13T16:41:00
Mumbai-2,C0002-B005,733,59.31,38,2024-05-13T16:44:00
Mumbai-2,C0002-B006,926,70.25,45,2024-05-13T17:58:00
Mumbai-2,C0002-B007,958,74.85,56,2024-05-13T12:06:00
Mumbai-2,C0002-B008,805,81.11,6,2024-05-13T17:43:00
Mumbai-2,C0002-B009,757,81.01,6,2024-05-13T09:19:00
Mumbai-2,C0002-B010,701,66.92,7,2024-05-13T08:50:00
Mumbai-2,C0002-B011,886,73.59,17,2024-05-13T15:46:00
Mumbai-2,C0002-B012,650,69.77,7,2024-05-13T09:49:00
Mumbai-2,C0002-B013,820,72.01,13,2024-05-13T15:53:00
Mumbai-2,C0002-B014,785,77.36,10,2024-05-13T07:54:00
Mumbai-2,C0002-B015,538,76.13,26,2024-05-13T08:30:00
Mumbai-2,C0002-B016,762,69.17,29,2024-05-13T10:00:00
Mumbai-2,C0002-B017,673,73.51,14,2024-05-13T16:02:00
Mumbai-2,C0002-B018,406,69.09,18,2024-05-13T13:19:00
Mumbai-2,C0002-B019,894,75.76,19,2024-05-13T12:55:00
Mumbai-2,C0002-B020,763,77.1,24,2024-05-13T15:09:00
Mumbai-2,C0002-B021,856,78.82,21,2024-05-13T16:27:00
Mumbai-2,C0002-B022,478,71.73,22,2024-05-13T08:23:00
Mumbai-2,C0002-B023,1186,81.45,37,2024-05-13T14:05:00
Mumbai-2,C0002-B024,844,65.45,34,2024-05-13T08:33:00
Mumbai-2,C0002-B025,654,71.48,11,2024-05-13T09:00:00
Mumbai-2,C0002-B026,881,83.36,51,2024-05-13T13:17:00
Mumbai-2,C0002-B027,776,78.71,19,2024-05-13T07:57:00
Mumbai-2,C0002-B028,907,75.44,13,2024-05-13T14:24:00
Mumbai-2,C0002-B029,778,75.47,14,2024-05-13T09:53:00
Mumbai-2,C0002-B030,886,75.02,34,2024-05-13T15:15:00
Mumbai-2,C0002-B031,635,65.49,6,2024-05-13T12:20:00
Mumbai-2,C0002-B032,574,61.21,31,2024-05-13T12:08:00
Mumbai-2,C0002-B033,856,71.41,27,2024-05-13T11:43:00
Mumbai-2,C0002-B034,800,78.52,11,2024-05-13T07:20:00
Mumbai-2,C0002-B035,469,74.4,18,2024-05-13T17:00:00
Mumbai-3,C0003-B001,874,78.62,25,2024-05-13T16:13:00
Mumbai-3,C0003-B002,662,60.86,11,2024-05-13T07:32:00
Mumbai-3,C0003-B003,706,61.22,14,2024-05-13T08:54:00
Mumbai-3,C0003-B004,593,59.34,27,2024-05-13T08:22:00
Mumbai-3,C0003-B005,859,67.94,31,2024-05-13T17:13:00
Mumbai-3,C0003-B006,655,58.44,31,2024-05-13T09:34:00
Mumbai-3,C0003-B007,824,68.1,16,2024-05-13T13:43:00
Mumbai-3,C0003-B008,822,63.7,46,2024-05-13T16:44:00
Mumbai-3,C0003-B009,542,61.09,31,2024-05-13T07:06:00
Mumbai-3,C0003-B010,762,58.99,45,2024-05-13T10:25:00
Mumbai-3,C0003-B011,740,68.8,14,2024-05-13T10:46:00
Mumbai-3,C0003-B012,839,67.72,7,2024-05-13T08:00:00
Mumbai-3,C0003-B013,533,62.15,31,2024-05-13T11:54:00
Mumbai-3,C0003-B014,678,64.11,28,2024-05-13T15:15:00
Mumbai-3,C0003-B015,727,56.39,36,2024-05-13T15:19:00
Mumbai-3,C0003-B016,566,63.58,15,2024-05-13T16:43:00
Mumbai-3,C0003-B017,622,59.9,26,2024-05-13T09:59:00
Mumbai-3,C0003-B018,641,65.29,18,2024-05-13T16:08:00
Mumbai-3,C0003-B019,674,58.69,14,2024-05-13T12:25:00
Mumbai-3,C0003-B020,556,69.76,7,2024-05-13T08:16:00
Mumbai-3,C0003-B021,735,70.86,33,2024-05-13T14:14:00
Mumbai-3,C0003-B022,645,55.77,26,2024-05-13T16:52:00
Mumbai-3,C0003-B023,817,68.0,8,2024-05-13T13:20:00
Mumbai-3,C0003-B024,930,64.94,6,2024-05-13T14:14:00
Mumbai-3,C0003-B025,467,65.32,26,2024-05-13T16:00:00
Mumbai-3,C0003-B026,545,80.24,4,2024-05-13T07:34:00
Mumbai-3,C0003-B027,454,59.47,17,2024-05-13T09:46:00
Mumbai-3,C0003-B028,829,61.98,41,2024-05-13T12:15:00
Mumbai-3,C0003-B029,825,61.03,19,2024-05-13T09:17:00
Mumbai-3,C0003-B030,465,60.84,23,2024-05-13T09:26:00
Mumbai-3,C0003-B031,622,51.58,16,2024-05-13T12:03:00
Mumbai-3,C0003-B032,738,64.76,25,2024-05-13T07:21:00
Mumbai-3,C0003-B033,548,64.71,22,2024-05-13T17:40:00
Mumbai-3,C0003-B034,631,61.66,17,2024-05-13T08:16:00
Mumbai-3,C0003-B035,724,63.59,6,2024-05-13T10:54:00
Mumbai-4,C0004-B001,720,70.26,35,2024-05-13T13:43:00
Mumbai-4,C0004-B002,660,63.77,16,2024-05-13T11:32:00
Mumbai-4,C0004-B003,725,63.41,19,2024-05-13T08:59:00
Mumbai-4,C0004-B004,629,60.83,33,2024-05-13T13:07:00
Mumbai-4,C0004-B005,802,72.65,46,2024-05-13T09:25:00
Mumbai-4,C0004-B006,864,61.11,23,2024-05-13T15:16:00
Mumbai-4,C0004-B007,939,62.7,42,2024-05-13T16:04:00
Mumbai-4,C0004-B008,911,66.24,46,2024-05-13T11:44:00
Mumbai-4,C0004-B009,757,64.88,38,2024-05-13T12:19:00
Mumbai-4,C0004-B010,485,68.32,11,2024-05-13T07:25:00
Mumbai-4,C0004-B011,777,65.25,35,2024-05-13T10:48:00
Mumbai-4,C0004-B012,706,71.01,13,2024-05-13T17:53:00
Mumbai-4,C0004-B013,964,72.23,41,2024-05-13T08:19:00
Mumbai-4,C0004-B014,485,57.4,8,2024-05-13T10:22:00
Mumbai-4,C0004-B015,632,60.98,9,2024-05-13T11:35:00
Mumbai-4,C0004-B016,653,62.27,3,2024-05-13T14:16:00
Mumbai-4,C0004-B017,614,63.69,3,2024-05-13T16:11:00
Mumbai-4,C0004-B018,781,79.13,41,2024-05-13T17:11:00
Mumbai-4,C0004-B019,806,57.99,5,2024-05-13T13:24:00
Mumbai-4,C0004-B020,831,62.92,5,2024-05-13T13:28:00
Mumbai-4,C0004-B021,787,65.79,15,2024-05-13T14:48:00
Mumbai-4,C0004-B022,821,64.66,28,2024-05-13T07:33:00
Mumbai-4,C0004-B023,810,67.36,14,2024-05-13T09:29:00
Mumbai-4,C0004-B024,633,65.69,33,2024-05-13T07:55:00
Mumbai-4,C0004-B025,549,54.0,12,2024-05-13T11:20:00
Mumbai-4,C0004-B026,559,66.64,27,2024-05-13T15:21:00
Mumbai-4,C0004-B027,604,63.79,15,2024-05-13T11:29:00
Mumbai-4,C0004-B028,654,71.9,10,2024-05-13T14:03:00
Mumbai-4,C0004-B029,575,61.62,15,2024-05-13T09:38:00
Mumbai-4,C0004-B030,889,67.69,44,2024-05-13T11:22:00
Mumbai-4,C0004-B031,870,62.51,36,2024-05-13T09:58:00
Mumbai-4,C0004-B032,915,68.05,33,2024-05-13T16:31:00
Mumbai-4,C0004-B033,720,74.75,19,2024-05-13T11:42:00
Mumbai-4,C0004-B034,804,70.21,12,2024-05-13T17:16:00
Mumbai-4,C0004-B035,918,66.52,43,2024-05-13T07:10:00
Pune-1,C0005-B001,652,53.11,6,2024-05-13T08:23:00
Pune-1,C0005-B002,898,69.23,20,2024-05-13T14:26:00
Pune-1,C0005-B003,839,57.62,30,2024-05-13T11:43:00
Pune-1,C0005-B004,557,59.49,23,2024-05-13T09:33:00
Pune-1,C0005-B005,541,58.7,4,2024-05-13T08:26:00
Pune-1,C0005-B006,535,58.66,16,2024-05-13T17:13:00
Pune-1,C0005-B007,626,60.82,5,2024-05-13T09:50:00
Pune-1,C0005-B008,481,55.73,16,2024-05-13T08:55:00
Pune-1,C0005-B009,728,63.46,5,2024-05-13T16:47:00
Pune-1,C0005-B010,618,56.13,5,2024-05-13T07:59:00
Pune-1,C0005-B011,833,67.29,22,2024-05-13T08:34:00
Pune-1,C0005-B012,630,54.86,27,2024-05-13T16:54:00
Pune-1,C0005-B013,658,48.39,37,2024-05-13T10:15:00
Pune-1,C0005-B014,547,60.46,22,2024-05-13T13:58:00
Pune-1,C0005-B015,718,52.97,25,2024-05-13T10:46:00
Pune-1,C0005-B016,584,50.84,6,2024-05-13T11:25:00
Pune-1,C0005-B017,593,58.4,2,2024-05-13T14:50:00
Pune-1,C0005-B018,772,56.92,44,2024-05-13T13:13:00
Pune-1,C0005-B019,631,56.36,16,2024-05-13T13:40:00
Pune-1,C0005-B020,538,52.45,12,2024-05-13T08:03:00
Pune-1,C0005-B021,600,54.97,20,2024-05-13T16:36:00
Pune-1,C0005-B022,992,71.92,22,2024-05-13T10:21:00
Pune-1,C0005-B023,780,57.17,17,2024-05-13T08:27:00
Pune-1,C0005-B024,692,60.39,29,2024-05-13T14:42:00
Pune-1,C0005-B025,568,51.72,25,2024-05-13T13:48:00
Pune-1,C0005-B026,937,60.15,48,2024-05-13T09:09:00
Pune-1,C0005-B027,860,51.76,29,2024-05-13T07:56:00
Pune-1,C0005-B028,608,53.25,21,2024-05-13T09:34:00
Pune-1,C0005-B029,800,52.2,15,2024-05-13T10:23:00
Pune-1,C0005-B030,807,55.74,20,2024-05-13T14:03:00
Pune-1,C0005-B031,715,58.11,25,2024-05-13T10:56:00
Pune-1,C0005-B032,368,42.14,15,2024-05-13T11:21:00
Pune-1,C0005-B033,366,60.74,20,2024-05-13T09:45:00
Pune-1,C0005-B034,610,51.1,15,2024-05-13T07:40:00
Pune-1,C0005-B035,462,56.13,19,2024-05-13T17:58:00
Pune-2,C0006-B001,421,57.93,4,2024-05-13T16:42:00
Pune-2,C0006-B002,588,68.87,17,2024-05-13T14:07:00
Pune-2,C0006-B003,723,64.14,9,2024-05-13T12:15:00
Pune-2,C0006-B004,789,55.35,18,2024-05-13T08:23:00
Pune-2,C0006-B005,606,64.56,9,2024-05-13T07:38:00
Pune-2,C0006-B006,769,66.52,28,2024-05-13T10:48:00
Pune-2,C0006-B007,751,67.27,27,2024-05-13T16:59:00
Pune-2,C0006-B008,596,59.46,7,2024-05-13T11:45:00
Pune-2,C0006-B009,921,64.56,46,2024-05-13T07:52:00
Pune-2,C0006-B010,799,66.92,38,2024-05-13T10:02:00
Pune-2,C0006-B011,429,79.28,15,2024-05-13T17:17:00
Pune-2,C0006-B012,735,68.06,42,2024-05-13T07:14:00
Pune-2,C0006-B013,756,74.84,22,2024-05-13T14:05:00
Pune-2,C0006-B014,611,63.07,33,2024-05-13T11:12:00
Pune-2,C0006-B015,650,60.11,32,2024-05-13T16:05:00
Pune-2,C0006-B016,654,67.11,23,2024-05-13T16:05:00
Pune-2,C0006-B017,899,64.41,24,2024-05-13T17:32:00
